state,start-date,prediction-range,s0,e0,a0,i0,r0,d0,START,RATIO,WCASES,WREC
SP,2020-03-15,200,9093078,0,0,597,300,159,70,0.15,0.3079,0.0274
ES,2020-04-01,200,18799033,0,0,427,250,228,57,0.15,0.3926,0.0752
MG,2020-03-30,200,20929828,0,0,653,250,48,180,0.15,0.7451,0.0229
RJ,2020-03-19,200,4934919,0,0,735,250,85,64,0.15,0.4026,0.0364
CE,2020-03-19,200,18730200,0,0,517,250,290,125,0.15,0.3042,0.0471
PE,2020-03-18,200,35509,0,0,780,250,195,154,0.15,0.5889,0.0761
AM,2020-03-18,200,19815188,0,0,353,250,108,69,0.15,0.4679,0.0439
PA,2020-03-21,200,24477383,0,0,528,250,176,93,0.15,0.3645,0.076
PI,2020-03-19,200,10127195,0,0,279,250,247,86,0.15,0.435,0.042
RR,2020-03-19,200,22960488,0,0,181,250,110,129,0.15,0.3094,0.0631
AP,2020-03-21,200,2988457,0,0,571,250,169,44,0.15,0.3912,0.0486
